10	Question: Which composite coating showed the highest polarization resistance on carbon steel in 3.5 wt% NaCl solution?	Answer: 3% Cu-MOF/GO and 3% Mn-MOF/GO composite coatings.
11	Question: What is the photocatalytic reduction efficiency of the Cu-MOF@In-MOF heterojunction toward Cr(VI) under visible-light irradiation?	Answer: 98% within 1 hour.
15	Question: What was the observed saturation magnetization value for ZnO@MOF-5 nanocrystals?	Answer: 2.59 x 10^-3 emu/g
16	Question: What is the detection limit of the aptasensor based on Tb-MOF-on-Fe-MOF for CA125?	Answer: 58 U/mL
31	Question: What is the topology of MOF-501?	Answer: NbO
42	Question: What was the CO2/N2 selectivity of 20-EmimGly@MOF-177?	Answer: 13
43	Question: What is the main reason for the high selectivity of curcumin@MOF-5 materials toward Al3+?	Answer: The special pore structure of MOF-5.
56	Question: Which catalyst achieved 99.6% CO selectivity in the reverse water-gas shift (RWGS) reaction?	Answer: Pt/Au@Pd@MOF-74
59	Question: What is the optimal removal efficiency of tetracycline by ZIS/MOF-525-3 under 60 min?	Answer: 93.8%
61	Question: What is the main reason 10 wt% g-C3N4/Cu-MOF outperforms 20 wt% g-C3N4/Cu-MOF in photocatalytic efficiency?	"Answer: Excess g-C3N4 doping in 20 wt% g-C3N4/Cu-MOF enhances the recombination rate of electron-hole pairs, inhibiting free radical generation."
63	Question: What modulator was used in the synthesis of MOF-545?	Answer: Trifluoroacetic acid
71	Question: What are the key features of multiporous metal-organic frameworks (MOFs)?	"Answer: High surface areas, tunable pores, and fascinating nanostructures."
74	Question: What is the overpotential of the NiCo/Fe3O4/MOF-74 catalyst at 10.0 mA cm\\(^{-2}\\)?	Answer: 238 mV
75	"Question: What solvent, when used to dry MOF-5, results in a tetragonal crystal structure?"	Answer: Dimethylformamide (DMF)
76	Question: What are two key limitations of MOFs that MOF-based hydrogels and aerogels help overcome?	Answer: Intrinsic fragility and powdered crystalline state.
80	Question: What are the two emission peaks observed in the photoluminescence spectra of the ZnO/MOF-5 hybrid material?	Answer: 460 nm and 550 nm
81	Question: What are the structurally dynamic properties of the MOF-based hydrogel?	Answer: Self-healing and shear-thinning.
84	Question: What is the range of interaction energy between MOF-646 and H<sub>2</sub>?	Answer: 7.8-6.8 kJ mol<sup>-1</sup>
89	Question: Which MOF-5 structure has a higher H<sub>2</sub> adsorption capacity at 298 K and 25 bar?	Answer: T-MOF-5
94	Question: What is the primary reason for the increased stability of Mg-Ni-MOF-74 in the presence of water?	Answer: M-O bond length distortion.
101	Question: What is the overpotential required to reach a current density of 10 mA cm\\(^{-2}\\) for the Ni-MOF@Fe-MOF catalyst in 1 m KOH?	Answer: 265 mV
103	Question: What is the adsorption capacity of MOF-199/CCF for methylene blue within 30 minutes?	Answer: 659.6 mg g(-1)
104	"Question: Which MOF, when impregnated with C-60, shows the best performance for CO2/CH4, CO2/CO, and CO2/H-2 separations?"	Answer: C-60@MOF-177
112	Question: What reaction does the MOF@COF-Pd catalyst facilitate?	Answer: C-C coupling reaction of pyrimidine sulfonate and aryl boronic acid.
113	Question: What is the optimal milling time for preparing MAPbBr(3)/MOF composites using the mechanochemical method?	Answer: 30 min
114	Question: What is the main advantage of incorporating UiO-66-NH2 fillers into the M-5 membrane?	Answer: Enhanced permeability while maintaining invariable selectivity.
115	Question: What is one advantage of the microfluidic strategy over conventional batch processes for synthesizing MOF crystals?	Answer: Faster kinetics.
117	Question: What was the percentage increase in drug loading capacity when gamma-CD-MOF was conjugated with hyaluronic acid (HA)?	Answer: 4.8%
123	Question: What metal ion is incorporated into the Al-MOF to enhance its adsorption capacity for lithium polysulfides?	Answer: Cu2+
